Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Long Reach,Static,"The user may use damaging attacks as if they had a range of ""8, 1 Target"" instead of their usual range.",,,,"The user may use damaging attacks as if they had a range of ""8, 1 Target"" instead of their usual range."
Merciless,Static,Any attacks by the user against Poisoned targets are Critical Hits. They must still hit normally.,,,,Any attacks by the user against Poisoned targets are Critical Hits. They must still hit normally.
Misty Surge,Scene x3 - Swift Action,"The Field becomes Misty, as if affected by the Move Misty Terrain for one full round.",,,,"The Field becomes Misty, as if affected by the Move Misty Terrain for one full round."
Mud Shield,Scene - Swift Action,"The user gains two ticks worth of Temporary Hit Points.Bonus: When standing on any muddy or dirty terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction. Defensive.",,,,"The user gains two ticks worth of Temporary Hit Points.Bonus: When standing on any muddy or dirty terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction. Defensive."
Neuroforce,Static,"Whenever you deal Super-Effective Damage to a target, that target treats your Damage Roll as it were increased by +10.",,,,"Whenever you deal Super-Effective Damage to a target, that target treats your Damage Roll as it were increased by +10."
Power Construct,Daily - Swift Action,"The user changes to Complete Forme until the end of the Scene, and gains Temporary Hit Points equal to half of the maximum hit points that Complete Forme would have. The user cannot gain Temporary Hit Points from other sources while in Complete Forme.
Special: The user still uses the HP total and HP Maximum of the Forme that it was in (10% or 50% Forme) before entering Complete Forme. Both Formes must still follow BSR. The user can only use Power Construct while below 50% HP",,,,"The user changes to Complete Forme until the end of the Scene, and gains Temporary Hit Points equal to half of the maximum hit points that Complete Forme would have. The user cannot gain Temporary Hit Points from other sources while in Complete Forme.
Special: The user still uses the HP total and HP Maximum of the Forme that it was in (10% or 50% Forme) before entering Complete Forme. Both Formes must still follow BSR. The user can only use Power Construct while below 50% HP"
Power of Alchemy,Scene - Free Action,"The Pokémon gains an Ability known by the Target for the remainder of the encounter, or until it is Fainted.",,A Trainer or Pokémon within 10 meters,,"Target - A Trainer or Pokémon within 10 meters
The Pokémon gains an Ability known by the Target for the remainder of the encounter, or until it is Fainted."
Prism Armor,Static,The user gains +5 Damage Reduction against Super Effective-Damage. Defensive.,,,,The user gains +5 Damage Reduction against Super Effective-Damage. Defensive.
Psychic Surge,Scene x3 - Swift Action,"The Field becomes Weird, as if affected by the Move Psychic Terrain for one full round.",,,,"The Field becomes Weird, as if affected by the Move Psychic Terrain for one full round."
Queenly Majesty,Scene x2 - Free Action," Connection - Stomp - if an adjacent target uses a Priority Move or an Interrupt action, the user may attack that target with Stomp as a Free Action Interrupt.    Bonus: The user cannot be targeted by Interrupt Moves and enemies may not activate Interrupts in response to the user’s actions.",,,," Connection - Stomp - if an adjacent target uses a Priority Move or an Interrupt action, the user may attack that target with Stomp as a Free Action Interrupt.    Bonus: The user cannot be targeted by Interrupt Moves and enemies may not activate Interrupts in response to the user’s actions."
Revelation,Scene x2 - Free Action,"The user may immediately use the triggering Move as a Standard Action interrupt.Bonus: Whenever the user uses a Dance Move, they gain +2 to Accuracy Rolls until the end of their next turn.", Someone within 10 meters uses a damaging Dance Move,,,"Trigger -  Someone within 10 meters uses a damaging Dance Move
The user may immediately use the triggering Move as a Standard Action interrupt.Bonus: Whenever the user uses a Dance Move, they gain +2 to Accuracy Rolls until the end of their next turn."
Radiant Beam,Static," The user may use damaging Grass-Type attacks as if they had a range of ""Line 4"" instead of their usual range.",,,," The user may use damaging Grass-Type attacks as if they had a range of ""Line 4"" instead of their usual range."
Receiver,Special - Free Action," Each of the effects below may be used once per Scene when triggered; 1) When an ally faints, the user selects one of their Abilities. The user gains that Ability until the end of the encounter.2) When the user faints, they may grant use of their Basic Ability to an ally on the field for the rest of the encounter.",,,," Each of the effects below may be used once per Scene when triggered; 1) When an ally faints, the user selects one of their Abilities. The user gains that Ability until the end of the encounter.2) When the user faints, they may grant use of their Basic Ability to an ally on the field for the rest of the encounter."
RKS System,Scene - Free Action," If the user is hit by a damaging attack, they may calculate damage as if they were Normal-Typeinstead. If they were already Normal-Type, they resist all damage one step further.Bonus: The user’s Type changes to match the Type of their held Memory Disc.",,,," If the user is hit by a damaging attack, they may calculate damage as if they were Normal-Typeinstead. If they were already Normal-Type, they resist all damage one step further.Bonus: The user’s Type changes to match the Type of their held Memory Disc."
Schooling,Daily - Swift Action," The user changes to Schooling Forme, and gains Temporary Hit Points equal to half of its own maximum Hit Points. The user cannot gain Temporary Hit Points from other sources while in Schooling Forme. When the user is both below 50% of their maximum HP and has no Temporary Hit Points left, they change back into Solo Forme. Bonus: The user has two sets of base stats; Solo and Schooling. The HP of both forms must be the same.",,,," The user changes to Schooling Forme, and gains Temporary Hit Points equal to half of its own maximum Hit Points. The user cannot gain Temporary Hit Points from other sources while in Schooling Forme. When the user is both below 50% of their maximum HP and has no Temporary Hit Points left, they change back into Solo Forme. Bonus: The user has two sets of base stats; Solo and Schooling. The HP of both forms must be the same."
Shadow Shield,Static,"While at full Hit Points, the user resists all damage one step further. Defensive.",,,,"While at full Hit Points, the user resists all damage one step further. Defensive."
Shields Down,Static,"The user has two sets of base stats; Meteor and Core. The HP of both forms must be the same. When the user is in Meteor Forme and becomes Bruised, they change to Core Forme. The userreturns to Meteor Forme while outside of combat if not Bruised. ",,,,"The user has two sets of base stats; Meteor and Core. The HP of both forms must be the same. When the user is in Meteor Forme and becomes Bruised, they change to Core Forme. The userreturns to Meteor Forme while outside of combat if not Bruised. "
Slush Rush,Static,"While in Hailing Weather or under half maximum Hit Points, the user’s Initiative is doubled.",,,,"While in Hailing Weather or under half maximum Hit Points, the user’s Initiative is doubled."
Soul Heart,Scene x2 - Free Action," Whenever a combatant faints, the user receives +2 Special Attack Combat Stages and gains a tick of Temporary Hit Points.",,,," Whenever a combatant faints, the user receives +2 Special Attack Combat Stages and gains a tick of Temporary Hit Points."
Stakeout,Static,The user gains a +2d6+4 bonus on damage rolls against foes that were released from a Pokéball or entered the encounter since the user's last turn.,,,,The user gains a +2d6+4 bonus on damage rolls against foes that were released from a Pokéball or entered the encounter since the user's last turn.
Stamina,At-Will - Free Action,The user receives +1 Defense Combat Stage. [Defensive],The user is hit by a Damaging Attack,,,"Trigger - The user is hit by a Damaging Attack
The user receives +1 Defense Combat Stage. [Defensive]"
Steelworker,Scene - Free Action,The user calculates damage as if it was only Steel-Typed.Bonus: The user gains STAB on Steel-Type Moves that originate from its Anchor.,The user takes damage while adjacent to its Anchor,,,"Trigger - The user takes damage while adjacent to its Anchor
The user calculates damage as if it was only Steel-Typed.Bonus: The user gains STAB on Steel-Type Moves that originate from its Anchor."
Tangling Hair,At-Will - Free Action,The attacker receives -1 Speed Combat Stage and is Slowed until the end of its next turn.,The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack
The attacker receives -1 Speed Combat Stage and is Slowed until the end of its next turn."
Surge Surfer,Static,"On Electric Terrain or while under half maximum Hit Points, the user’s Initiative is doubled.",,,,"On Electric Terrain or while under half maximum Hit Points, the user’s Initiative is doubled."
Triage,Static,The user’s moves with the Healing keyword may be used as Priority moves.,,,,The user’s moves with the Healing keyword may be used as Priority moves.
Water Bubble,Static,"The user resists Fire-Type attacks one step further, is immune to being Burned, and may always act as though in Rainy Weather. [Defensive]Bonus: The user may attack with Water-Type Moves as if they had a range of “Melee, 1 target”. If they do, that Move's Class is changed to Physical and it deals +1d6+2 damage.",,,,"The user resists Fire-Type attacks one step further, is immune to being Burned, and may always act as though in Rainy Weather. [Defensive]Bonus: The user may attack with Water-Type Moves as if they had a range of “Melee, 1 target”. If they do, that Move's Class is changed to Physical and it deals +1d6+2 damage."
